ranking,score,movie_name,score_num
168,8.4,唐伯虎点秋香,305371
169,8.6,超能陆战队,350644
170,8.9,小森林 冬春篇,104221
171,8.5,战争之王,168449
172,8.7,梦之安魂曲,107659
173,8.6,可可西里,123886
174,8.5,蝙蝠侠：黑暗骑士崛起,282983
175,8.7,碧海蓝天,105484
176,8.8,地球上的星星,80228
177,8.3,秒速5厘米,281631
178,8.8,未麻的部屋,89515
179,8.3,恐怖游轮,304127
180,8.5,谍影重重2,152663
181,8.6,爆裂鼓手,225148
182,8.5,谍影重重,184203
183,8.6,海盗电台,160822
184,8.5,阿飞正传,171878
185,8.6,达拉斯买家俱乐部,160246
186,8.7,牯岭街少年杀人事件,100971
187,8.8,惊魂记,78415
188,8.4,魔女宅急便,184770
189,8.5,再次出发之纽约遇见你,157949
190,8.7,绿里奇迹,101784
191,9.1,迁徙的鸟,50407
192,8.5,被解救的姜戈,248897
193,9.2,东京物语,47884
194,8.5,勇闯夺命岛,136623
195,8.6,荒野生存,122026
196,8.7,末路狂花,99553
197,8.6,卡萨布兰卡,119386
198,8.4,青蛇,209090
199,8.5,终结者2：审判日,134773
200,9.0,忠犬八公物语,53651
201,8.6,燕尾蝶,104768
202,8.5,这个男人来自地球,169249
203,8.8,哪吒闹海,75456
204,8.4,变脸,205393
205,8.4,英国病人,168188
206,8.3,源代码,391757
207,8.5,E.T. 外星人,145670
208,8.4,新龙门客栈,173864
209,9.1,黄金三镖客,48779
210,8.4,发条橙,178597
211,8.5,黑客帝国3：矩阵革命,147338
212,8.6,叫我第一名,104354
213,8.4,美国丽人,176571
214,9.2,城市之光,40867
215,8.3,穆赫兰道,224158
216,8.6,非常嫌疑犯,110625
217,8.4,无耻混蛋,213638
218,8.3,初恋这件小事,436825
219,8.9,勇士,83974
220,8.6,上帝也疯狂,92011
221,8.5,模仿游戏,240026
222,8.3,蓝色大门,264225
223,9.0,爱·回家,45273
224,8.6,无敌破坏王,176598
225,8.7,大卫·戈尔的一生,85059
226,8.5,血钻,123326
227,8.8,爱在午夜降临前,108328
228,8.3,曾经,195703
229,8.3,国王的演讲,322382
230,8.5,麦兜故事,122173
231,8.6,枪火,93895
232,8.4,暖暖内含光,138096
233,8.2,疯狂的石头,294217
234,8.5,遗愿清单,119491
235,8.6,蝴蝶,92255
236,8.7,千钧一发,79721
237,8.6,巴黎淘气帮,101422
238,8.5,荒岛余生,125567
239,8.9,与狼共舞,54004
240,8.8,房间,137532
241,8.5,偷拐抢骗,111101
242,8.5,月球,136232
243,8.7,头脑特工队,206938
244,9.0,我爱你,52461
245,8.3,夜访吸血鬼,189543
246,8.8,寿司之神,77819
247,8.4,彗星来的那一夜,158648
248,8.6,廊桥遗梦,93387
249,8.3,爱在暹罗,212355
250,8.7,中央车站,73274
